VARIABLE;DESCRIPTION;DERIVED FROM;SURVEY QUESTION;VALUES
WTScomp_numeric;Subjective understanding of whether WTS ensures damage compensation, numeric;WTScomp;;0, 1
claims;Subjective claims compensated by the government after the 2021 floods;;Which percentage of damage claims filed because of the July 2021 floods do you think has been paid out by the government by now, from 0% (none of the claims) to 100% (all of the claims)?;Integer between 0 and 100
ins_rain;Subjective insurance availability for floods from extreme rain, in words;;Are flood damages due to excessive rain insurable in The Netherlands?;Never, or almost never, By some insurers, Always, or almost always
ins_rain_numeric;Subjective insurance availability for floods from extreme rain, numeric;ins_rain;;Integer between 0 and 2
ins_primary;Subjective insurance availability for floods from failure of primary defenses, in words;;Are flood damages due to the breach of primary defences insurable in The Netherlands? Primary defences protect The Netherlands against flooding from the North Sea and major rivers (like the Rhine or the Maas).;Never, or almost never, By some insurers, Always, or almost always
ins_primary_numeric;Subjective insurance availability for floods from failure of primary defenses, numeric;ins_primary;;Integer between 0 and 2
ins_secondary;Subjective insurance availability for floods from failure of secondary defenses, in words;;Are flood damages due to the breach of secondary defences insurable in The Netherlands? Secondary defences protect The Netherlands against flooding from smaller rivers.;Never, or almost never, By some insurers, Always, or almost always
ins_secondary_numeric;Subjective insurance availability for floods from failure of secondary defenses, numeric;ins_secondary;;Integer between 0 and 2
restoration_conf;Confidence in subjective coverage of Grensmaas restoration project;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
floodmaps_conf;Confidence in subective flood category according to maps;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
waterdepth_conf;Confidence in subjective water depth category according to flood maps;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
WTS_conf;Confidence in subjective understanding of whether WTS is automatically triggered;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
WTScomp_conf;Confidence in subjective understanding of whether WTS ensures damage compensation;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
claims_conf;Confidence in subjective claims compensated by the government after the 2021 floods;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
ins_rain_conf;Confidence in subjective insurance availability for floods from extreme rain ;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
ins_primary_conf;Confidence in subjective insurance availability for floods from failure of primary defenses;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
ins_secondary_conf;Confidence in subjective insurance availability for floods from failure of secondary defenses;;"How confident are you in your answer, from 1 (""Very unsure"") to 10 (""Very sure"")?";Integer between 1 and 10
average_info_confidence;Average confidence across answers to flood-related information-based questions;floodmaps_conf, waterdepth_conf, WTS_conf, WTScomp_conf, claims_conf, ins_rain_conf, ins_primary_conf, ins_secondary_conf;;Integer between 1 and 10
friction_floodmaps;Number of categories by which flood risk category is overestimated or underestimated;stated_floodmaps, correct_floodmaps;;Integer between -3 and 3
friction_floodmaps_indicator;Whether flood risk category is overestimated/underestimated;stated_floodmaps, correct_floodmaps;;0, 1
friction_waterdepth;Number of categories by which water depth category is overestimated or underestimated;stated_waterdepth, correct_waterdepth;;Integer between -6 and 6
friction_waterdepth_indicator;Whether water depth category is overestimated/underestimated;stated_waterdepth, correct_waterdepth;;0, 1
friction_WTS_indicator;Whether rules on triggering of WTS are misunderstood;WTS;;0, 1
friction_WTScomp_indicator;Whether rules on WTS compensation are misunderstood;WTScomp;;0, 1
friction_claims_difference;Difference between stated claims paid out by the government after the 2021 floods and effective claims;claims;;Integer between -53 and 47
friction_claims;Whether claims paid out by the government after the 2021 floods are overestimated, underestimated, or reported correctly (correctly means within 10 pp. from the true value, which is 53);claims;;overestimate, underestimate, about right
friction_claims_indicator;Whether claims paid out by the government after the 2021 floods are overestimated/underestimated or reported correctly (correctly means within 10 pp. from the true value, which is 53);claims;;0, 1
friction_ins_rain;Number of categories by which insurance availability in case of floods from excessive rain is overestimated/underestimated;ins_rain;;Integer between 0 and 2
friction_ins_rain_indicator;Whether insurance availability in case of floods from excessive rain is overestimated/underestimated;ins_rain;;0, 1
friction_ins_primary;Number of categories by which insurance availability in case of floods from failure of primary defences is overestimated/underestimated;ins_primary;;Integer between 0 and 2
friction_ins_primary_indicator;Whether insurance availability in case of floods from failure of primary defences is overestimated/underestimated;ins_primary;;0, 1
friction_ins_secondary;Number of categories by which insurance availability in case of floods from failure of secondary defences is overestimated/underestimated;ins_secondary;;Integer between 0 and 2
friction_ins_secondary_indicator;Whether insurance availability in case of floods from failure of secondary defences is overestimated/underestimated;ins_secondary;;0, 1
friction_topic_wts;Whether at least one answer to the information-based questions on compensation is incorrect;WTS, WTScomp, claims;;0, 1
friction_topic_maps;Whether at least one answer to the information-based questions on flood maps categories is incorrect;floodmaps, waterdepth;;0, 1
friction_topic_insurance;Whether at least one answer to the information-based questions on insurance is incorrect;ins_rain, ins_primary, ins_secondary;;0, 1
total_frictions;Total number of wrong answers to information-based questions;friction_floodmaps_indicator, friction_waterdepth_indicator, friction_WTS_indicator, friction_WTScomp_indicator, friction_claims_indicator, friction_ins_rain_indicator, friction_ins_primary_indicator, friction_ins_secondary_indicator;;Integer between 0 and 8
confidently_wrong_floodmaps;Whether the answer to the flood risk category question is incorrect and its associated confidence is 8 or higher;friction_floodmpa_indicator, floodmaps_conf;;0, 1
confidently_wrong_waterdepth;Whether the answer to the maximum water depth category question is incorrect and its associated confidence is 8 or higher;friction_waterdepth_indicator, waterdepth_conf;;0, 1
confidently_wrong_WTS;Whether the answer to the triggering of the WTS is incorrect and its associated confidence is 8 or higher;friction_WTS_indicator, WTS_conf;;0, 1
confidently_wrong_WTScomp;Whether the answer to the WTS compensation question is incorrect and its associated confidence is 8 or higher;friction_WTScomp_indicator, WTScomp_conf;;0, 1
confidently_wrong_claims;Whether the answer to the claims question is incorrect and its associated confidence is 8 or higher;friction_claims_indicator, claims_conf;;0, 1
confidently_wrong_ins_primary;Whether the answer to the question on flood insurance from primary defences is incorrect and its associated confidence is 8 or higher;friction_ins_primary_indicator, ins_primary_conf;;0, 1
confidently_wrong_ins_secondary;Whether the answer to the question on flood insurance from secondary defences is incorrect and its associated confidence is 8 or higher;friction_ins_secondary_indicator, ins_secondary_conf;;0, 1
confidently_wrong_ins_rain;Whether the answer to the question on flood insurance from extreme rain is incorrect and its associated confidence is 8 or higher;friction_ins_rain_indicator, ins_rain_conf;;0, 1
confidently_wrong_answers;Number of questions to which the participant gave confidently wrong answers;confidently_wrong_floodmaps, confidently_wrong_waterdepth, confidently_wrong_WTS, confidently_wrong_WTScomp, confidently_wrong_claims, confidently_wrong_ins_primary, confidently_wrong_ins_secondary, confidently_wrong_ins_rain;;Integer between 0 and 7 (only flood-related questions are considered)
confidently_wrong_indicator;Whether the participant has been confidently wrong at least in one answer;confidently_wrong_answers;;0, 1
info_value_maps;Value of information on flood maps;;"If the Dutch government were to provide information to you, how valuable would you find these pieces of information, from 1 (""Not valuable at all"") to 5 (""Very valuable"")?";Number between 1 and 5
info_value_compensation;Value of information on government compensation;;"If the Dutch government were to provide information to you, how valuable would you find these pieces of information, from 1 (""Not valuable at all"") to 5 (""Very valuable"")?";Number between 1 and 5
info_value_insurance;Value of information on insurance;;"If the Dutch government were to provide information to you, how valuable would you find these pieces of information, from 1 (""Not valuable at all"") to 5 (""Very valuable"")?";Number between 1 and 5
info_value_nature;Value of information on water management and nature conservation;;"If the Dutch government were to provide information to you, how valuable would you find these pieces of information, from 1 (""Not valuable at all"") to 5 (""Very valuable"")?";Number between 1 and 5
wtp_scenario;Scenario drawn in incentivized willingness-to-pay for information lottery (among the 11 scenarios);;;Number between 1 and 6 in 0.5 increment 
wtp_answer;Survey respondent's answer for the scenario drawn in incentivized willingness-to-pay for information lottery (among the 11 answers to 11 scenarios);;;I want to receive the money, I want to receive the information
wtp_insurance;Stated willingness-to-pay for hypothetcal insurance contract;;Imagine there was an insurance policy that completely covered flood damages to your house and home contents. How much would your household be willing to pay for a monthly premium (in EUR)? You can type 0 as an answer.;Non-negative integer
wtp_insurance_wins975;Stated willingness-to-pay for hypothetcal insurance contract, winsorized at the 97.5th percentile;wtp_insurance;;Non-negative integer
wtp_insurance_wins99;Stated willingness-to-pay for hypothetcal insurance contract, winsorized at the 99th percentile;wtp_insurance;;Non-negative integer
wtp_info;Willigness-to-pay for information;get_info_1EUR, get_info_1.5EUR, get_info_2EUR, get_info_2.5EUR, get_info_3EUR, get_info_3.5EUR, get_info_4EUR, get_info_4.5EUR, get_info_5EUR, get_info_5.5EUR, get_info_6EUR;;0 or -99 (representing malformed willingness-to-pay) or number between 1 and 6 in 0.5 increment
get_info_1EUR;Would like to receive information for 1 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_1.5EUR;Would like to receive information for 1.5 EUR; ;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_2EUR;Would like to receive information for 2 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_2.5EUR;Would like to receive information for 2.5 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_3EUR;Would like to receive information for 3 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_3.5EUR;Would like to receive information for 3.5 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_4EUR;Would like to receive information for 4 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_4.5EUR;Would like to receive information for 4.5 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_5EUR;Would like to receive information for 5 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_5.5EUR;Would like to receive information for 5.5 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
get_info_6EUR;Would like to receive information for 6 EUR;;If you want, we can share with you information on which Dutch insurance companies have extended coverage for flood damages. We want to understand how valuable this information is for Dutch households. Remember that you may receive money for filling out this survey. You can choose between receiving this piece of information or receiving more money in case you are selected for payment. For each amount of money below, please choose whether you would prefer the piece of information or more money. Of all the choices, only one will be selected at random and your decision for that amount will be implemented.;0, 1
cbond_link_click;Whether survey respondent clicked on the link to the Consumntenbond blog post;;;0, 1
cbond_info_time_first_click;Time elapsed before first click on Consumentenbond blog post survey screen (in seconds);;;Non-negative number
cbond_info_time_last_click;Time elapsed before last click on Consumentenbond blog post survey screen (in seconds);;;Non-negative number
cbond_info_time_page_submit;Time spent on Consumentenbond blog post survey screen (in seconds);;;Non-negative number
cbond_info_time_click_count;Times clicked on Consumentenbond blog post survey screen;;;Non-negative integer
worry_RE_present;"Whether the survey respondent gave the outcome ""worry""";worry_RE;;0, 1
risk_RE_present;"Whether the survey respondent gave the outcome ""risk""";risk_RE;;0, 1
damages_RE_present;"Whether the survey respondent gave the outcome ""damages""";damages_RE;;0, 1
comptot_RE_present;"Whether the survey respondent gave the outcome ""comptot""";comptot_RE;;0, 1
compshare_RE_present;"Whether the survey respondent gave the outcome ""compshare""";compshare_RE;;0, 1
wtp_info_present;"Whether the survey respondent gave the outcome ""wtp_info""";wtp_info;;0, 1
wtp_insurance_present;"Whether the survey respondent gave the outcome ""wtp_insurance""";wtp_insurance;;0, 1
any_outcome;At least one outcome is present;worry_RE, risk_RE, damages_RE, comptot_RE, compshare_RE, wtp_info, wtp_insurance;;0, 1
treatment;Experimental arm the survey respondent is randomly assigned to;;;1, 2, 3, 4
text_time_first_click;Time elapsed before first click on experimental text survey screen (in seconds);;;Non-negative number
text_time_last_click;Time elapsed before last click on experimental text survey screen (in seconds);;;Non-negative number
text_time_page_submit;Time spent on experimental text survey screen (in seconds);;;Non-negative number
text_time_click_count;Times clicked on experimental text survey screen;;;Non-negative integer
info_time_first_click;Time elapsed before first click on survey screen with correct answers to information-based questions (in seconds);;;Non-negative number
info_time_last_click;Time elapsed before last click on survey screen with correct answers to information-based questions (in seconds);;;Non-negative number
info_time_page_submit;Time spent on survey screen with correct answers to information-based questions (in seconds);;;Non-negative number
info_time_click_count;Times clicked on survey screen with correct answers to information-based questions;;;Non-negative integer
text_attention;Answer to attention check question, also referred to as text comprehension question;;"For treatment 1: Which animals and plants are found in the Rivierpark Maasvallei?, for treatment 2: Under the ""Small probability"" scenario (1 flood every 1000 years) and under the ""Medium probability"" scenario (1 flood every 100 years)... , for treatment 3: Under the WTS act, does the government fully compensate all flood damages?, for treatment 4: After the floods in Limburg in July 2021, insurance companies covered... ";"For treatment 1: Rare zinc and lime flora OR Lime flora, skylarks, and goldfinches OR Rare zinc, lime flora, and beavers OR Skylarks, goldfinches, and beavers, for treatment 2: The address floods OR The address floods only with ""Small probability""  OR The address floods only with ""Medium probability"" OR The address does not flood, for treatment 3: Yes, in all cases OR Yes, as long as the damages were not insurable, not recoverable, and not preventable OR Not necessarily, even if the damages were not insurable, not recoverable, and not preventable OR Never, even if the damages were not insurable, not recoverable, and not preventable, for treatment 4: Over 200 million euros in damages, 95% of the total damages from the floods OR Over 200 million euros in damages, 95% of the damage claims they received from households OR Over 350 million euros in damages, between 35% and 60% of the total damages from the floods  OR Over 600 million euros in damages, 95% of the damage claims they received from households"
text_attention_passed;Whether the respondent passed the attention check;text_attention, flood_max_1_in_100_years, flood_max_1_in_1000_years;;0, 1
text_easy_to_understand;The extent to which the survey respondent finds the experimental text easy to understand (in words);;Did you find that this text was easy to understand?;Not at all, Not so much, Somewhat, Very, Extremely
text_easy_to_understand_numeric;The extent to which the survey respondent finds the experimental text easy to understand (numeric);text_easy_to_understand;;Integer between 1 and 5
text_nice_read;The extent to which the survey respondent finds the experimental text a nice read (in words);;Did you find that this text was a nice read?;Not at all, Not so much, Somewhat, Very, Extremely
text_nice_read_numeric;The extent to which the survey respondent finds the experimental text a nice read (numeric);text_nice_read;;Integer between 1 and 5
text_emotions;The extent to which the survey respondent finds that the experimental text conveyed emotions (in words);;Did you find that this text conveyed emotions?;Not at all, Not so much, Somewhat, Very, Extremely
text_emotions_numeric;The extent to which the survey respondent finds that the experimental text conveyed emotions (numeric);text_emotions;;Integer between 1 and 5
clicks_maps;Times the survey respondent has clicked on the maps toggle box;;;Non-negative integer
clicks_maps_indicator;Whether the survey respondent has clicked on the maps toggle box;clicks_maps;;0, 1
clicks_wts;Times the survey respondent has clicked on the WTS toggle box;;;Non-negative integer
clicks_wts_indicator;Whether the survey respondent has clicked on the WTS toggle box;clicks_wts;;0, 1
clicks_insurance;Times the survey respondent has clicked on the insurance toggle box;;;Non-negative integer
clicks_insurance_indicator;Whether the survey respondent has clicked on the insurance toggle box;clicks_insurance;;0, 1
clicks_decoy;Times the survey respondent has clicked on the decoy (nature conservation) toggle box;;;Non-negative integer
clicks_decoy_indicator;Whether the survey respondent has clicked on the decoy (nature conservation) toggle box;clicks_decoy;;0, 1
clicked_how_many_boxes;Number of boxes clicked by the survey respodent;clicks_maps, clicks_wts, clicks_insurance, clicks_decoy;;Integer between 0 and 3
clicked_boxes_0;Whether the survey respondent clicked 0 of the toggle boxes;clicked_how_many_boxes;;0, 1
clicked_boxes_1;Whether the survey respondent clicked 1 of the toggle boxes;clicked_how_many_boxes;;0, 1
clicked_boxes_2;Whether the survey respondent clicked 2 of the toggle boxes;clicked_how_many_boxes;;0, 1
clicked_boxes_3;Whether the survey respondent clicked 3 of the toggle boxes;clicked_how_many_boxes;;0, 1
first_box_clicked;Name of the first toggleable box clicked by the survey respondent;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy;;0, 1
second_box_clicked;Name of the second toggleable box clicked by the survey respondent;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy;;0, 1
third_box_clicked;Name of the third toggleable box clicked by the survey respondent;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy;;0, 1
read_all_flood_texts;Survey respondent has read all flood-related texts;clicks_maps_indicator, clicks_wts_indicator, clicks_insurance_indicator;;0, 1
timestamps_maps;Time stamp(s) of when the maps toggle box was clicked;;;Time stamp
timestamps_wts;Time stamp(s) of when the WTS toggle box was clicked;;;Time stamp
timestamps_insurance;Time stamp(s) of when the insurance toggle box was clicked;;;Time stamp
timestamps_decoy;Time stamp(s) of when the decoy (nature conservation) toggle box was clicked;;;Time stamp
timestamps_submit;Time stamp(s) of when the submit button was clicked;;;Time stamp
total_seconds_maps;Total seconds spent on maps toggle box;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy, timestamps_submit;;Non-negative number
conditional_total_seconds_maps;Total seconds spent on maps toggle box, conditional on clicking (0 seconds become missing values);total_seconds_maps;;Non-negative number
conditional_total_seconds_maps_wins975;Total seconds spent on maps toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 97.5th percentile;total_seconds_maps;;Non-negative number
conditional_total_seconds_maps_wins99;Total seconds spent on maps toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 99th percentile;total_seconds_maps;;Non-negative number
total_seconds_wts;Total seconds spent on WTS toggle box;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy, timestamps_submit;;Non-negative number
conditional_total_seconds_wts;Total seconds spent on WTS toggle box, conditional on clicking (0 seconds become missing values);total_seconds_wts;;Non-negative number
conditional_total_seconds_wts_wins975;Total seconds spent on WTS toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 97.5th percentile;total_seconds_wts;;Non-negative number
conditional_total_seconds_wts_wins99;Total seconds spent on WTS toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 99th percentile;total_seconds_wts;;Non-negative number
total_seconds_insurance;Total seconds spent on insurance toggle box;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy, timestamps_submit;;Non-negative number
conditional_total_seconds_insurance;Total seconds spent on insurance toggle box, conditional on clicking (0 seconds become missing values);total_seconds_insurance;;Non-negative number
conditional_total_seconds_insurance_wins975;Total seconds spent on insurance toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 97.5th percentile;total_seconds_insurance;;Non-negative number
conditional_total_seconds_insurance_wins99;Total seconds spent on insurance toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 99th percentile;total_seconds_insurance;;Non-negative number
total_seconds_decoy;Total seconds spent on decoy (nature conservation) toggle box;timestamps_maps, timestamps_wts, timestamps_insurance, timestamps_decoy, timestamps_submit;;Non-negative number
conditional_total_seconds_decoy;Total seconds spent on decoy (nature conservation) toggle box, conditional on clicking (0 seconds become missing values);total_seconds_decoy;;Non-negative number
conditional_total_seconds_decoy_wins975;Total seconds spent on decoy (nature conservation) toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 97.5th percentile;total_seconds_decoy;;Non-negative number
conditional_total_seconds_decoy_wins99;Total seconds spent on decoy (nature conservation) toggle box, conditional on clicking (0 seconds become missing values), winsorized at th 99th percentile;total_seconds_decoy;;Non-negative number
info_time_toggle;Total time spent on page with toggle boxes;info_time_page_submit, info_time_last_click;;Non-negative number
approximate_time;Approximate time spent on the last box clicked in the toggle box survey screen. Only necessary for a hanfdul of observations in the very first pilot, where the time stamp in the submit button is missing.;info_time_toggle, total_seconds_maps, total_seconds_wts, total_seconds_insurance, total_seconds_decoy;;Non-negative number
total_seconds_treatment_text;Total seconds spent on treatment text;treatment, total_seconds_decoy, total_seconds_maps, total_seconds_wts, total_seconds_insurance;;Non-negative number
total_seconds_treatment_text_wins975;Total seconds spent on treatment text, winsorized at the 97.5th percentile;total_seconds_treatment_text;;Non-negative number
total_seconds_treatment_text_wins99;Total seconds spent on treatment text, winsorized at the 99th percentile;total_seconds_treatment_text;;Non-negative number
total_seconds_other_texts;Total seconds spent on non-treatment texts;treatment, total_seconds_decoy, total_seconds_maps, total_seconds_wts, total_seconds_insurance;;Non-negative number
total_seconds_other_texts_wins975;Total seconds spent on non-treatment texts, winsorized at the 97.5th percentile;total_seconds_other_texts;;Non-negative number
total_seconds_other_texts_wins99;Total seconds spent on non-treatment texts, winsorized at the 99th percentile;total_seconds_other_texts;;Non-negative number
total_seconds_all_texts;Total seconds spent on all texts;total_seconds_decoy, total_seconds_maps, total_seconds_wts, total_seconds_insurance;;Non-negative number
total_seconds_all_texts_wins975;Total seconds spent on all texts, winsorized at the 97.5th percentile;total_seconds_all_texts;;Non-negative number
total_seconds_all_texts_wins99;Total seconds spent on all texts, winsorized at the 99th percentile;total_seconds_all_texts;;Non-negative number
WEIGHTS;Sample weight;;;Positive number
